"q01_num_hijos","q02a_birth_child","q02b_birth_child","q02c_birth_child","q02d_birth_child","q02e_birth_child","q02f_birth_child","q03_help","q04_excedencia_all","q05_duration_child","q06_duration_child","q07_duration_child","q08_main_reason","q09a_secondary_reason","q09b_secondary_reason","q09c_secondary_reason","q09d_secondary_reason","q10_diff_reasons","q11_other_ask","q12_other_not_reason","q13a_conciliation_opts","q13b_conciliation_opts","q13c_conciliation_opts","q14_company_reaction","q15_mates_reaction","q16_formation_time","q17_work_during","q18_back_work","q19_tasks_after","q20_current_tasks","q21_excedencia_general_evaluation","q22_excedencia_needs_improvements","q23_excedencia_specify_improvements","q24_conciliation_general_evaluation","q25_conciliation_needs_improvements","q26_conciliation_specify_improvements","q27_experience_description","q28_comments","q29_genre","q31_civil_status","q32_education","q33_job","q34_contract","q35_salary"
"1",2016,NA,NA,NA,NA,NA,"No, no cuento con nadie más","si","Llevo 1 año y dos meses","Ni","No","Quería dedicarme por completo a mi/s hijo/s","No contaba con ayuda externa de familiares","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,"Tengo 1 hijo","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Comprensión","Comprensión","Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.","No","La excedencia no ha acabado aún","otros: Aún estoy de excedencia","No estoy trabajando actualmente",6,"Sí, creo que necesita alguna mejora.","Baja maternal de 2 años de duración. Ayudas para las familias que optan por esta opción",3,"Sí, creo que necesita alguna mejora.","Turno de mañana a los padres con hijos pequeños","Maravillosa y agotadora. Lo mejor","No","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 25.001 y 30.000 euros "
"3",2006,2007,2014,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","no","23 3","0","0","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Comprensión","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","",7,"Sí, creo que necesita alguna mejora.","Mayor duración ",3,"Sí, creo que necesita alguna mejora.","Baja maternal más larga ","Lo mejor que he hecho ","No","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 30.001 y 50.000 euros "
"1",2014,NA,NA,NA,NA,NA,"No, no cuento con nadie más","si","8","","","Quería dedicarme por completo a mi/s hijo/s","Mi puesto de trabajo no permitía la conciliación con la vida familiar ",NA,NA,NA,"","no","No nos planteamos esa opción","Reducción de jornada",NA,NA,"Comprensión","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","otros: Despido al solicitar reincorporación con reducció de jornada","otros: Nuevo empleo, nuevas funciones y Mayor responsabilidad","",4,"Sí, creo que necesita alguna mejora.","Parcialment remunerada y con seguridad total de regreso a mismo puesto de trabajo, sin temor a perderlo",1,"otros: Cambio total. No existe pisibilidad de conciliació","Baja maternal hasta 18-24 meses, bajas padres y madres, flexibilidad horària en el trabajo, bonos-cheque guardería, horas libre disposició para reuniones de colegio O visitas médicas","Laboralmente excluida, personalmente excelente decisión, oportunidad de redirigir mi futur professional","No","Mujer","Vivo en pareja","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","otros: Interino de sustitución por baja maternal","Entre 15.001 y 25.000 euros"
"2",1995,1998,NA,NA,NA,NA,"Sí, una persona contratada nos ayuda a cuidar del hijo/s","no","9 meses","","","Quería dedicarme por completo a mi/s hijo/s","No me veía capaz para trabajar y cuidar de un bebé a la vez",NA,NA,NA,"","no","No nos planteamos esa opción","Reducción de jornada",NA,NA,"otros: Lo aceptaron por lo que no se puede calificar de hostil, pero no fue muy bien recibida por parte de la dirección","otros: La mayoría lo comprendió pero hubo gente que lo criticó","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Asumí tareas de mayor responsabilidad ","Es de mayor rango ",7,"No, considero que funciona bien.","",3,"Sí, creo que necesita alguna mejora.","Creo que España debería copiar los sistemas de otros países más avanzados como los nórdicos en los que tanto padres como madres tienen opción a bajas paternales más largas y periodos remunerados para el cuidado de sus hijos","Buena e irrepetible ","Creo que para mí personalmente hubiera sido mejor seguir trabajando. Pero en aquel momento yo no lo sabía porque pensaba que era mi deber quedarme en casa.  Creo que soy más feliz compaginando vida familiar y laboral","Mujer","Casado/a","Estudios secundarios ","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros"
"1",2017,NA,NA,NA,NA,NA,"No, no cuento con nadie más","si","6","","","Quería dedicarme por completo a mi/s hijo/s","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","No contaba con ayuda externa de familiares","No tenía una opción real de adaptar la jornada a mis necesidades familiares ",NA,"","no","No nos planteamos esa opción","Reducción de jornada",NA,NA,"Hostilidad","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","otros: no he vuelto todavía","otros: no he vuelto","",3,"Sí, creo que necesita alguna mejora.","Mantener al empleado al tanto de los cambios en la empresa y seguir formando",1,"Sí, creo que necesita alguna mejora.","Flexibilidad, bolsa de horas para cuidar a tus hijos - enfermedad, médicos, colegios - ","Duro, reincorporación difícil","","Mujer","Vivo en pareja","Formación profesional ","Trabajo en el sector privado","Indefinido","Entre 25.001 y 30.000 euros "
"3",2011,2013,2016,NA,NA,NA,"No, no cuento con nadie más","no","15m (2a)","Actualidad (3a)","Actualidad","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"el mismo cuidar de ellas","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Indiferencia","Hostilidad","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","otros: En la primera no, ahora si, por cuenta ajena","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","No estoy trabajando actualmente",7,"otros: Ayudas por hijo a cargo","Remuneración",2,"Sí, creo que necesita alguna mejora.","Ayudas económicas, especiamente a pymes","Duro y apasionante","no","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 25.001 y 30.000 euros "
"1",2015,NA,NA,NA,NA,NA,"No, no cuento con nadie más","si","12 (1)","","","Quería dedicarme por completo a mi/s hijo/s","No contaba con ayuda externa de familiares","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,"","si","No aplica","Flexibilidad de horario","Reducción de jornada","Teletrabajo, posibilidad de jornada continua.","Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","",7,"No, considero que funciona bien.","",4,"Sí, creo que necesita alguna mejora.","Bolsa de horas para atender a hijos / familiares enfermos. Facilidad para días de excedencia sueltos en caso de enfermedad para evitar llevar niños enfermos a la guardería o a clase. Fomento del trabajo a tiempo parcial.","Gratificante.
Irrepetible.
Merece la pena.","","Hombre","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 25.001 y 30.000 euros "
"2",2013,2015,NA,NA,NA,NA,"No, no cuento con nadie más","si","3","3","2 excedencias más durante el verano de 2 meses cada una","No contaba con ayuda externa de familiares","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,"","si","No aplica","Flexibilidad de horario","Reducción de jornada","Teletrabajo","Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","Estoy en el mismo puesto o en otro similar",6,"Sí, creo que necesita alguna mejora.","Las excedencias para hijos al menos menores de 1 año deberían estar remuneradas en un porcentaje para que todos los padres pudieran cuidar de sus hijos",7,"Sí, creo que necesita alguna mejora.","Reducción de jornada al 100%de salario, bajas m/paternales de 1 año para cada uno intransferible, flexibilidad horaria, teletrabajo","Disfrutar de ellos no se paga con dinero, repetiría, tengo suerte","Me considero un privilegiado por haber ""podido"" RENUNCIAR a mi salario para cuidar a mis hijos, y me parece muy triste que sea así","Hombre","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 30.001 y 50.000 euros "
"2",2006,2015,NA,NA,NA,NA,"No, no cuento con nadie más","si","12","12","","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)","Quería dedicarme por completo a mi/s hijo/s",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Comprensión","Hostilidad","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","",5,"Sí, creo que necesita alguna mejora.","",4,"Sí, creo que necesita alguna mejora.","Poder elegir horario de trabajo dentro del horario escolar","Muy buena decisión ","No considero q sea natural q tengamos q dejar a nuestros hijos de 4 meses en una guardería ","Mujer","Casado/a","Estudios primarios ","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros"
"otros: Dos más un aborto espontáneo de 16 semanas.",1984,1988,2016,NA,NA,NA,"No, no cuento con nadie más","si","Siete años para los dos hijos, mas dos de esperque tardaron ","Siete años para los dos, mas dos de espera.","","Quería dedicarme por completo a mi/s hijo/s","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)","Quería dedicarme por completo a mi/s hijo/s",NA,NA,"Los mismos","no","No nos planteamos esa opción","Antes ninguna. Ahora reducción de jornada","No facilita ninguna de estas opciones",NA,"Indiferencia","Hostilidad","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambié de puesto","Realicé trabajos de menor responsabilidad ","Estoy en el mismo puesto o en otro similar",4,"Sí, creo que necesita alguna mejora.","Facilitaria reducción de jornada. Reserva del lugar de trabajo. Mas comprensión del entorno laboral.",3,"Sí, creo que necesita alguna mejora.","Flexibilidad horaria. Vacaciones en periodo de vacaciones escolares.
Trabajar desde casa.","Excelente para mi familia.
Regular para mi vida laboral.","En mi caso me costó, algo mas de dos años, que me dieran plaza al solicitar el reingreso. Y accepté un puesto de trabajo duro y poco valorado.","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","No lo recuerdo"
"2",2012,2015,NA,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","si","12","18","","Quería dedicarme por completo a mi/s hijo/s","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,"","no","No nos planteamos esa opción","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","Estoy en el mismo puesto o en otro similar",6,"No, considero que funciona bien.","",3,"Sí, creo que necesita alguna mejora.","Alguna medida para cuando los niños son pequeños y se ponen malitos. En esos casos tienen que estar con su madre o padre, no con canguros ni abuelas","Necesaria para ellos y para mi
Verlos crecer y hacerse mayores
Estar con ellos cuando están malitos, sin preocuparte del trabajo","","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 15.001 y 25.000 euros"
"1",2015,NA,NA,NA,NA,NA,"No, no cuento con nadie más","si","9 meses","","","Quería dedicarme por completo a mi/s hijo/s","No contaba con ayuda externa de familiares","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,"","si","","Reducción de jornada",NA,NA,"Indiferencia","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","",3,"Sí, creo que necesita alguna mejora.","El estado debería favorecer a los trabajadores y las empresas que esto sucediera y si ya hubiese una pequeña ayuda económica en lugar de facilitar la pronta escolarización, ya ni te cuento",4,"Sí, creo que necesita alguna mejora.","Deberíamos poder tener horarios continuos para disponer de más tiempo junto a nuestros hijos y obtener ayudas para poder estar el máximo tiempo al cuidado de nuestros hijos y no tener que dejarlos al cuidado de otras personas","Lo volveré a hacer con mi próxima hija","","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 25.001 y 30.000 euros "
"2",2008,2011,NA,NA,NA,NA,"No, no cuento con nadie más","si","30 Primero","30 segundo","","Quería dedicarme por completo a mi/s hijo/s","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada","Teletrabajo ","Comprensión","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","",6,"No, considero que funciona bien.","",3,"Sí, creo que necesita alguna mejora.","Mayor flexibilidad, más opciones para casos de enfermedad de hijos, adaptación en colegios, tutorías, entregas de notas...","Positiva pero poco reconocida por la sociedad, no se tiene en cuenta que es una renuncia en muchos casos tanto económica como laboral y social","","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Prefiero no contestar"
"1",2016,NA,NA,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","si","2","","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","no","otros: No quiso","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","",7,"otros: Baja maternal de 6 meses minimo","Misma respuesta que anterior",5,"Sí, creo que necesita alguna mejora.","Que los hombres también se cogieran excedencias o ajustes de horario laboral","Fueron 2 meses donde pude cuidar de mi hija al 100% y no tuvo que ir 'hasta' los 6 meses a la guarde. La mejor inversión","","Mujer","Pareja de hecho","Doctorado","Trabajo en el sector privado","Indefinido","Prefiero no contestar"
"2",2014,2017,NA,NA,NA,NA,"No, no cuento con nadie más","si","4","4 meses","","Quería dedicarme por completo a mi/s hijo/s","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,"","no","No nos planteamos esa opción","Compactacion de la reduccion de jornada","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","La excedencia no ha acabado aún","Asumí tareas de mayor responsabilidad ","No estoy trabajando actualmente",6,"Sí, creo que necesita alguna mejora.","",4,"Sí, creo que necesita alguna mejora.","Asimilacion de horarios laborables al horario escolar. 
","","","Mujer","Pareja de hecho","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 25.001 y 30.000 euros "
"2",2013,NA,NA,NA,NA,NA,"No, no cuento con nadie más","si","6","","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé la misma actividad que antes de la excedencia ","Estoy en el mismo puesto o en otro similar",2,"Sí, creo que necesita alguna mejora.","Más tiempo de excedencia sin penalización.
Possibilidad de que los dos progenitores pueden cogersela a la vez",2,"Sí, creo que necesita alguna mejora.","","Tengo mellizos asi que mi experiencia se resume en: tranquilidad al tener estabilidada laboral, agotadora i gratificante a la vez","No","Mujer","Vivo en pareja","Formación profesional ","Trabajo en el sector público","Indefinido","Entre 15.001 y 25.000 euros"
"2",2013,2016,NA,NA,NA,NA,"No, no cuento con nadie más","si","24 1","","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Indiferencia","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambié de puesto","Realicé trabajos de menor responsabilidad ","Estoy en el mismo puesto o en otro similar",2,"Sí, creo que necesita alguna mejora.","Flexibilidad ",2,"Sí, creo que necesita alguna mejora.","Flexibilidad ","Incomprensión, trabas, injusto ","","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 15.001 y 25.000 euros"
"1",2016,NA,NA,NA,NA,NA,"No, no cuento con nadie más","si","11 meses","","","Quería dedicarme por completo a mi/s hijo/s","No contaba con ayuda externa de familiares",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario",NA,NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé trabajos de menor responsabilidad ","Estoy en el mismo puesto o en otro similar",6,"Sí, creo que necesita alguna mejora.","",1,"Sí, creo que necesita alguna mejora.","","","","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Temporal","Menos de 15.000 euros "
"1",2017,NA,NA,NA,NA,NA,"No, no cuento con nadie más","si","3","","","No contaba con ayuda externa de familiares","No contaba con ayuda externa de familiares","No tenía una opción real de adaptar la jornada a mis necesidades familiares ",NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","La excedencia no ha acabado aún","otros: Aún estoy de excedencia","",2,"Sí, creo que necesita alguna mejora.","Creo que lo más apropiado sería que el permiso de maternidad fuera más largo para ambos progenitores",3,"Sí, creo que necesita alguna mejora.","Facilitar la reducción de jornada
Incluir guarderías en las empresas
Facilitar la lactancia en las empresas","Mejorable
Sistema obsoleto e ineficaz","","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 15.001 y 25.000 euros"
"1",2013,NA,NA,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","si","5 meses","","","Quería dedicarme por completo a mi/s hijo/s","No contaba con ayuda externa de familiares",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Hostilidad","Indiferencia","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambié de puesto","Realicé trabajos de menor responsabilidad ","Es de menor rango ",3,"Sí, creo que necesita alguna mejora.","",3,"Sí, creo que necesita alguna mejora.","","Decepcion, castigo, injusticia","","Mujer","Vivo en pareja","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Entre 25.001 y 30.000 euros "
"1",2015,NA,NA,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","si","12","","","Quería dedicarme por completo a mi/s hijo/s","Sentía que mi puesto de trabajo estaba asegurado",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Indiferencia","Hostilidad","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","",3,"Sí, creo que necesita alguna mejora.","Obligatoriedad de concederla",1,"Sí, creo que necesita alguna mejora.","Mas tiempo de baja maternidad y paternidad, horario adaptado, posibilidad de teletrabajo, igualdad de condiciones ante posibles promociones...","","","Mujer","Vivo en pareja","Formación profesional ","Trabajo en el sector público","Indefinido","Entre 15.001 y 25.000 euros"
"2",2015,2016,NA,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","no","7","0","0","otros: Enfermedad de mi hija","No contaba con ayuda externa de familiares",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Reducción de jornada",NA,NA,"Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé trabajos de menor responsabilidad ","",7,"Sí, creo que necesita alguna mejora.","Lo que propondría es una baja maternal más extensa, como por ejemplo Noruega",1,"Sí, creo que necesita alguna mejora.","Simplemente que deje de ser una utopía, no existen ayudas para la madre, necesitamos ayuda en casa para poder disfrutar de nuestros hijos pero no siempre es económicamente posible","Necesaria y satisfactoria","La pedí para mi segunda hija y me pesa no haberla pedido para mi primer hijo","Mujer","Casado/a","Formación profesional ","Trabajo en el sector privado","Indefinido","Menos de 15.000 euros "
"1",2014,NA,NA,NA,NA,NA,"Sí, una persona contratada nos ayuda a cuidar del hijo/s","si","3","","","otros: Comparti las semanas de maternidad con mi chico. En total el estuvo tres meses y yo seis con nuestra hija.","Quería dedicarme por completo a mi/s hijo/s",NA,NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada","Trabajo por objetivos","Comprensión","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Asumí tareas de mayor responsabilidad ","Es de mayor rango ",1,"Sí, creo que necesita alguna mejora.","Deberían no ser necesarias, por tener derecho y obligación ambos progenitores a permisos retribuidos de al menos un año",3,"Sí, creo que necesita alguna mejora.","Reducción de jornada: Trabajar menos de 35 h es poco realista en España manteniendo las funciones. La ley es correcta, pero la puesta en práctica no. Raramente reducen jornada los padres.
- tiempo mucho más amplio de maternidad y paternidad
- obligatoriedad en que el padre asuma exactamente los mismos permisos que las madres
- días extra para acompañar a los hijos al médico o en casa en caso de enfermedad. Hay un vacío legal. No hacerlo sería dejación de obligaciones, pero la reelección laboral no cuenta con ello","La excedencia nos ha posibilitado estar los dos con nuestra hija, que ha sido maravilloso para el vínculo con ambos progenitores. ","","Mujer","Casado/a","Doctorado","Trabajo en el sector privado","Indefinido","Entre 30.001 y 50.000 euros "
"2",2010,2014,NA,NA,NA,NA,"No, no cuento con nadie más","si","8 meses (1°)","30 meses (2°)","","No contaba con ayuda externa de familiares","No tenía una opción real de adaptar la jornada a mis necesidades familiares ","Quería dedicarme por completo a mi/s hijo/s",NA,NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Comprensión","Hostilidad","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé trabajos de menor responsabilidad ","Los puestos no son comparables",3,"Sí, creo que necesita alguna mejora.","Algún tipo de remuneración y excedencia compartida total o parcialmente con e otro progenitor.",1,"Sí, creo que necesita alguna mejora.","Horarios y vacaciones paralelos entre el laboral de los progenitores y escolar de los hijos. Permisos para los progenitores en caso de cualquier enfermedad de algu@ hij@, reuniones con tutores, etc. ","Agotadora, reconfortante y feliz","","Mujer","Separado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector público","Indefinido","Entre 25.001 y 30.000 euros "
"2",2005,2012,NA,NA,NA,NA,"No, no cuento con nadie más","si","13meses ","7meses ","","No tenía una opción real de adaptar la jornada a mis necesidades familiares ","Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”)","No contaba con ayuda externa de familiares","Quería dedicarme por completo a mi/s hijo/s",NA,"","no","Decidimos que era mejor que la tomara solo yo por una cuestión económica","Flexibilidad de horario","Reducción de jornada",NA,"Indiferencia","Indiferencia","Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.","No","Cambié de puesto","Realicé trabajos de menor responsabilidad ","Es de menor rango ",3,"Sí, creo que necesita alguna mejora.","Qué se respete el puesto de trabajo más tiempo que 4 meses de baja",3,"Sí, creo que necesita alguna mejora.","Más flexibilidad real ","Compensa emocionalmente y económicamente. Hay que concienciar más a la sociedad en la necesidad que los hijos estén con sus padres más tiempo para que luego sean adultos sanos psicológicamente y felices ","Yo sentí que parecía menos útil porque mis hijos eran mi prioridad y eso para algunas personas es dejar la empresa en 2° lugar, creo que si no hubiera habido protección por ser madre reciente no me hubieran vuelto a contratar","Mujer","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Menos de 15.000 euros "
"3",2011,2012,2016,NA,NA,NA,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s","no","11","","","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","Oposición","Sentía que mi puesto de trabajo estaba asegurado",NA,"","si","","Reducción de jornada",NA,NA,"Indiferencia","Comprensión","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","",7,"No, considero que funciona bien.","",5,"Sí, creo que necesita alguna mejora.","Reducción de jornada en días completos","Disfrutar aprender conocerlos","","Hombre","Casado/a","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo en el sector privado","Indefinido","Más de 50.001 euros "
"2",2013,2016,NA,NA,NA,NA,"No, no cuento con nadie más","si","9","24","0","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","Quería dedicarme por completo a mi/s hijo/s",NA,NA,NA,"","no","No nos planteamos esa opción","Reducción de jornada",NA,NA,"Hostilidad","Hostilidad","Ni me lo planteé,  me centré en cuidar a mi/s hijo/s","No","Cambió el tipo de jornada ","Realicé trabajos de menor responsabilidad ","No estoy trabajando actualmente",5,"Sí, creo que necesita alguna mejora.","Ayuda económica",2,"Sí, creo que necesita alguna mejora.","Muchas. No caben aquí ","Necesaria ","No","Mujer","Casado/a","Doctorado","Trabajo en el sector privado","Indefinido","Entre 30.001 y 50.000 euros "
"1",2016,NA,NA,NA,NA,NA,"otros: De vez en cuando echamos mano de las abuelas","si","6","","","Quería dedicarme por completo a mi/s hijo/s","Mi puesto de trabajo no permitía la conciliación con la vida familiar ","No tenía una opción real de adaptar la jornada a mis necesidades familiares ",NA,NA,"","no","No nos planteamos esa opción","Soy autónoma. En ese sentido, tengo flexibilidad de horarios,un eufemismo para decir que trabajo casi 24 horas al día, y trabajo por objetivos. En mi caso, soy periodista y tengo que realizar una serie de artículos a la semana",NA,NA,"Comprensión","Indiferencia","otros: No me daba tiempo de nada! Tenía un bebé pequeño y estaba sola!","No","Volví al mismo puesto con la misma jornada ","Realicé la misma actividad que antes de la excedencia ","",2,"Sí, creo que necesita alguna mejora.","En el caso de los autónomos, que exista realmente la posibilidad de coger una excedencia. Yo me tuve que reincorporar antes de lo que me hubiera gustado porque perdía clientes! ",3,"Sí, creo que necesita alguna mejora.","Horarios menos extensivos en las empresas. Igualdad entre hombres y mujeres, que ellos también puedan coger excedencia y baja igual que las mujeres, por el mismo tiempo, de manera que no nos perjudique laboralmente solo a nosotras hacerla.","Un lujo haber podido disfrutar de mi hija esos meses extra. Un esfuerzo económico bestial. Ahora malabarismos para poder conciliar el cuidado de la pequeña con el trabajo","En el caso de los autónomos, es aún más complicado que en los asalariados. No nos protege ninguna ley y estar de excedencia implica que cuando vuelves puede que algunos clientes hayan desaparecido. ","Mujer","Pareja de hecho","Estudios superiores (diplomatura/licenciatura/ingenieria)","Trabajo por cuenta propia","otros: No tengo","Entre 25.001 y 30.000 euros "
